FRIEND TAKE-UP DINNER PIZZA_4 (P)PARTY (1h)part:indef #WHEN (1h)part:indef,When is the pizza party that my friend is hosting?,A friend picked up four pizzas for the party when?  ,"My friend got four pizzas for the party, when is it?  ","A friend took up four pizzas for the party, when?  ",When did a friend pick up four pizzas for the party?  ,"Friend grabbed four pizzas for the party, when is it happening?  ","A friend collected four pizzas for the event, what time is it?  ","Friend took four pizzas for a party, what's the time?  ","Picked up four pizzas from the friend for the party, when is it?  ","Friend collected four pizzas for the party, when will it be?  ",When was the four pizzas taken for the party by a friend?  ,,,,,,,,,
MUST (1h)(flat-O)PAY/SPEND (1h)DO-DO IX-2p,What do you have to buy?,Do you have to spend or pay it?  ,Do you need to pay or spend it?  ,Do you have to pay or spend that?  ,Are you obligated to spend or pay it?  ,Are you supposed to pay or spend it?  ,Do you need to spend or pay it?  ,Do you have to use that money on something?  ,Do you have to deal with that payment or spending?  ,Do you have to do something about paying or spending it?  ,Are you required to pay or spend it?,,,,,,,,,
POSS-1p SISTER WANT FOR POSS-3p:i BIRTHDAY (1h)DO-DO (1h)part:indef,What does my sister want for her birthday?,What should I do for my sister's birthday?  ,What does my sister want me to do for her birthday?  ,What I should do for my sister's birthday?  ,What can I do for my sister's birthday?  ,What should I do about my sister's birthday?  ,What do I do for my sister's birthday?  ,What would be good to do for my sister's birthday?  ,What am I going to do for my sister's birthday?  ,How can I celebrate my sister's birthday?  ,What should I plan for my sister's birthday?  ,,,,,,,,,
"FRIEND SCL:crvd-5""group go together"" fs-BEACH FOR-FOR (1h)part:indef",Why are friends going to the beach?,"My friends and I are going to the beach, why?  ",Why is the group of us friends going to the beach?  ,"The friends are going to the beach together, what's the reason?  ",Why are the group of friends heading to the beach?  ,"What's the reason we're all going to the beach, friends?  ","Friends are going together to the beach, what's the reason?  ","Why are we, the friends, going to the beach as a group?  ","The group of us friends is going to the beach, for what reason?  ",Why is the curved group of five friends heading to the beach?  ,For what purpose is the group of friends going to the beach?  ,,,,,,,,,
POSS-1p FAMILY IX-3p:i EVERY-YEAR VACATION+ part:indef (2h)#NO+MORE (2h)#NO+MORE (1h)part:indef,My family does not vacation every year any more.,"My family and I used to vacation every year, but not anymore.  ",My family doesn't take vacations every year anymore.  ,My family and I don't do annual vacations anymore.  ,We no longer have a family vacation each year.  ,Our yearly family vacations have stopped.  ,Our family no longer goes on vacations every year.  ,"We used to vacation as a family every year, but we don't anymore.  ",The tradition of annual family vacations is over.  ,My family and I stopped going on yearly vacations.  ,Family vacations aren't a yearly event for us now.  ,,,,,,,,,
ASK FOR DIRECT part:indef WHO IX-3p-honorific:i,Who is asking for directions?,Is there someone specific you would like to speak with directly?  ,Who would you like to talk to directly?  ,Do you want to ask someone specific directly?  ,Is there a particular person you would like to address directly?  ,Who do you want to ask directly?  ,Who would you like to question directly?  ,Who are you referring to directly?  ,Is there a specific person you intend to ask directly?  ,Who do you mean to approach directly?  ,Are you looking to direct your question to someone specific?,,,,,,,,,
WHO (1h)ACCEPT IX-3p:i BIG #DOG_2 BUOY,Who owns that big dog?,Who accepted the big buoy from your dog?  ,Who did you accept the big dog buoy from?  ,Who accepts the big two-dog buoy there?  ,Who is accepting that big buoy with two dogs?  ,From whom did you take the big two-dog buoy?  ,Where did you get the big buoy with dogs from?  ,Who is the recipient of the large buoy from two dogs?  ,"Who accepted that big buoy, the one related to two dogs?  ",Who took in the big buoy referencing your dog?  ,Whose big dog buoy did you accept over there?  ,,,,,,,,,
IX-1p KNOW-THAT IX-3p:i MONSTER HOUSE IX-1p SUFFER ENTER fs-AT POSS-1p #OWN fs-RISK,I know that I should enter the haunted house at my own risk.,"I know that if I enter the monster house, I suffer at my own risk.  ",I'm aware that going into the monster house means suffering at my own risk.  ,I acknowledge the possibility of suffering if I enter the monster house at my own risk.  ,"If I go into the monster house, I am aware I suffer at my own risk.  ",I am aware of the dangers of entering the monster house at my own risk.  ,I realize that entering the monster house is something I do at my own risk.  ,I'm mindful that entering the monster house brings suffering at my own risk.  ,I understand entering the monster house comes with suffering at my own risk.  ,I am conscious that entering the monster house means suffering is at my own risk.  ,I know entering the monster house means I'm risking suffering on my own.,,,,,,,,,
IX-1p 1p-ASK:i POSS-1p TEACH+AGENT TEACH+AGENT FOR SOME ADVISE/INFLUENCE IX-1p DISCUSS++ part:indef,I asked my teacher for some advice and we had a discussion.,I asked my teacher for advice and discussed it with him.  ,"I asked my teacher for some guidance, and we talked about it.  ",I consulted my teacher for input and had a discussion with him.  ,I approached my teacher for influence and discussed things with him.  ,"I requested advice from my teacher, and we discussed it further.  ",I sought my teacher's guidance and talked it over with him.  ,I requested some advice from my teacher and had several talks.  ,I talked with my teacher for some guidance and continued the discussion.  ,"I got some input from my teacher, and we discussed it multiple times.  ","I asked my teacher for advice, and we discussed it a lot.",,,,,,,,,
HERE ns-BOSTON NOT MANY ANIMAL+ part:indef,There's not many animals here in Boston.,There aren't many animals around here in Boston.  ,There are not many animals here in Boston.  ,"Here in Boston, there are not many animals.  ","In Boston, there aren't many animals here.  ",There are few animals around here in Boston.  ,Not many animals here in Boston.  ,Boston doesn't have many animals here.  ,Few animals are here in Boston.  ,There are not a lot of animals in Boston here.  ,Boston here doesn't have a lot of animals.  ,,,,,,,,,
POSS-1p+ OTHER FRIEND IX-3p-pl-arc JOIN IX-1p PAST+NIGHT PAST+NIGHT,My other friends joined me last night.,My other friends joined me last night.  ,My other friends came to me last night.  ,"Last night, my other friends joined me.  ","Last night, my other friends joined with me.  ",My other friends joined me yesterday night.  ,My other friends gathered with me last night.  ,"Yesterday night, my other friends joined me.  ","Last night, my other friends came to meet with me.  ",My other friends met up with me last night.  ,My other friends were with me last night.  ,,,,,,,,,
POSS-1p TEACH+AGENT TEACH+AGENT IX-3p:i (1h)GOOD/THANK-YOU ADVISE/INFLUENCE++AGENT ADVISE/INFLUENCE++AGENT (1h)GOOD/THANK-YOU,My teacher is a good advisior.,I am grateful to my teacher for their helpful advice.  ,I appreciate my teacher for giving me good guidance.  ,I thank my teacher for being a positive influence.  ,I am thankful for the advice from my teacher.  ,I am grateful for the good influence of my teacher.  ,I appreciate the guidance my teacher gave me.  ,I thank the teacher for their good advice.  ,I am thankful for the teacher's influential guidance.  ,I value the positive influence of my teacher.  ,I appreciate the helpful advice of the teacher.  ,,,,,,,,,
SELF-3p+:i MOVIE REALLY SCARE+ BUOY,The movie is really scary.,He thinks the movie is really scary.  ,She finds the movie really frightening.  ,This person believes the movie is terrifying.  ,They think the movie is very scary.  ,He finds the movie very frightening.  ,She thinks the movie is quite scary.  ,They find the movie extremely terrifying.  ,This person thinks the movie is very frightening.  ,He believes the movie is quite terrifying.  ,She feels the movie is really scary.,,,,,,,,,
TEACH+AGENT TEACH+AGENT DISTRIBUTE ANSWER TO/UNTIL TEST,The teacher gave out the answers to the test.,The teacher gave out the answers until the test.  ,The teachers gave the answers before the test.  ,The teacher handed out answers before the test.  ,The tutor provided the answers until the test started.  ,The teachers distributed answers to the test.  ,The teacher supplied answers before the test.  ,The educators handed out answers before testing.  ,The teacher shared answers with students until the test.  ,The teacher sent answers before the test day.  ,The instructors gave answers before starting the test.  ,,,,,,,,,
IX-1p KISS-FIST APPLE DURING/WHILE AUTUMN,I love apples in the fall.,I love apples in the fall.  ,I really like apples during autumn.  ,I enjoy apples during the fall season.  ,I cherish apples when it's autumn.  ,I adore apples in autumn time.  ,I have a fondness for apples in the fall.  ,I love eating apples in the autumn.  ,I am fond of apples during fall.  ,I have a strong liking for apples in autumn.  ,I enjoy the taste of apples in the fall.  ,,,,,,,,,
NOW+AFTERNOON+ NOW+AFTERNOON+ IX-1p FUTURE GO SELL+,This afternoon I'm going to the store.,"This afternoon, I will be going to sell.  ","This afternoon, I'm going to sell.  ","This afternoon, I will go and sell.  ","This afternoon, I plan to sell.  ",I will sell this afternoon.  ,I'm selling this afternoon.  ,I will be selling this afternoon.  ,"This afternoon, I intend to sell.  ",I'm going to sell this afternoon.  ,"Later today, I will be selling.  ",,,,,,,,,
IX-1p MUST TAKE-UP TEST_2 AGAIN,I have to take the test again.,You have to retake the second test.  ,You must take the second test again.  ,You are required to take test two again.  ,You need to retake the second test.  ,You must redo the second test.  ,You have to take test two again.  ,You are obligated to retake the second test.  ,You need to do the second test again.  ,"You must take the test again, the second one.  ",You are required to do test two again.  ,,,,,,,,,
IX-1p VOLUNTEER/SHIRT HELP+ OTHER ORGANIZATION,I volunteer to help other organizations.,I am volunteering with another organization to help with shirts.  ,I volunteered to help another organization with shirts.  ,I am helping another organization with shirts as a volunteer.  ,I've volunteered to assist another organization with shirts.  ,I am a volunteer helping another organization with shirts.  ,I volunteer to help another organization with their shirts.  ,I volunteered to help another organization for shirts.  ,I am a volunteer for another organization helping with shirts.  ,I assist another organization with shirts as a volunteer.  ,I help another organization with shirts by volunteering.  ,,,,,,,,,
POSS-1p MOTHER+ IX-3p:i BECOME OLD (1h)part:indef,My mom is getting old.,My mother has become old.  ,My mother is getting older.  ,My mom is becoming old.  ,My mom is getting older.  ,My mother has aged.  ,My mom has gotten old.  ,My mother is aging.  ,My mom is aging.  ,My mother has grown older.  ,My mom has aged.,,,,,,,,,
PICK/CHOOSE-1p GROUP/TOGETHER fs-CLUB JOIN (2h)WOW HONOR,"I was picked to join the club. Wow, it was an honor.","I was chosen to join the club together, wow, what an honor!  ","I was picked to join the club and it feels amazing, such an honor!  ","They picked me to be part of the club, together, wow, I feel honored!  ","I got chosen for the club, wow, it's such an honor!  ","I am honored to be selected to join the club together, wow!  ","Getting picked to join the club is such an honor, wow!  ","Joining the club is a huge honor, wow, they picked me!  ","Wow, what an honor to be chosen to join the club!  ","It feels incredible to be chosen to be in the club, what an honor!  ","I am so honored to have been selected to join the club, wow!  ",,,,,,,,,
